libtirpc (1.3.7-1)
libtool (2.6.0-4)
libtsan (15.2.1+r604+g0b99615a8aef-1)
libubsan (15.2.1+r604+g0b99615a8aef-1)
libunibreak (6.1-1)
libunistring (1.4.1-1)
libunwind (1.8.2-1)
libusb (1.0.29-1)
libusbmuxd (2.1.1-2)
libuv (1.52.0-1)
libva (2.22.0-1)
libvdpau (1.5-4)
libverto (0.3.2-5)
libvorbis (1.3.7-4)
libvpl (2.16.0-2)
libvpx (1.15.2-3)
libwacom (2.18.0-2)
libwebp (1.6.0-2)
libwireplumber (0.5.13-1)
libx11 (1.8.13-1)
libxau (1.0.12-1)
libxcb (1.17.0-1)
libxcomposite (0.4.7-1)
libxcrypt (4.5.2-1)
libxcrypt-compat (4.5.2-1)
libxcursor (1.2.3-1)
libxcvt (0.1.3-1)
libxdamage (1.1.7-1)
libxdmcp (1.1.5-1)
libxext (1.3.7-1)
libxfce4ui (4.20.2-1)
libxfce4util (4.20.1-1)
libxfixes (6.0.2-1)
libxfont2 (2.0.7-1)
libxft (2.3.9-1)
libxi (1.8.2-1)
libxinerama (1.1.6-1)
libxkbcommon (1.13.1-1)
libxkbcommon-x11 (1.13.1-1)
libxkbfile (1.2.0-1)
libxml2 (2.15.1-5)
libxmlb (0.3.25-1)
libxmu (1.3.1-1)
libxpresent (1.0.2-1)
libxrandr (1.5.5-1)
libxrender (0.9.12-1)
libxshmfence (1.3.3-1)
libxslt (1.1.45-2)
libxss (1.2.5-1)
libxt (1.3.1-1)
libxtst (1.2.5-1)
libxv (1.0.13-1)
libxxf86vm (1.1.7-1)
libyuv (r2426+464c51a03-1)
libzip (1.11.4-1)
licenses (20240728-1)
lilv (0.26.4-1)
linux (6.18.9.arch1-2)
linux-api-headers (6.19-1)
linux-firmware (20260221-1)
linux-firmware-amdgpu (20260221-1)
linux-firmware-atheros (20260221-1)
linux-firmware-broadcom (20260221-1)
linux-firmware-cirrus (20260221-1)
linux-firmware-intel (20260221-1)
linux-firmware-mediatek (20260221-1)
linux-firmware-nvidia (20260221-1)
linux-firmware-other (20260221-1)
linux-firmware-radeon (20260221-1)
linux-firmware-realtek (20260221-1)
linux-firmware-whence (20260221-1)
linux-headers (6.18.9.arch1-2)
linux-wallpaperengine-git-debug (r590.9f6711f-1)
linux-wallpaperengine-git (r590.9f6711f-1)
llvm-libs (21.1.8-1)
lmdb (0.9.33-1)
lm_sensors (1:3.6.2-1)
lsb-release (2.0.r55.a25a4fc-1)
l-smash (2.14.5-4)
lsof (4.99.5-2)
lua (5.4.8-2)
luajit (2.1.1767980792+707c12b-2)
lv2 (1.18.10-2)
lz4 (1:1.10.0-2)
lzo (2.10-5)
m4 (1.4.21-1)
make (4.4.1-2)
md4c (0.5.2-1)
mesa (1:25.3.5-1)
meson (1.10.1-1)
minizip (1:1.3.2-2)
mjpegtools (2.2.1-3)
mkinitcpio (40-4)
mkinitcpio-busybox (1.36.1-1)
mobile-broadband-provider-info (20251101-1)
mpdecimal (4.0.1-1)
mpfr (4.2.2-1)
mpg123 (1.33.4-1)
mpv (1:0.41.0-3)
mpvpaper (1.8-1)
mpvpaper-debug (1.8-1)
mtdev (1.1.7-1)
mujs (1.3.8-1)
muparser (2.3.5-2)
nano (8.7.1-1)
nano-syntax-highlighting (2025.07.01.r0.g256995b-2)
ncurses (6.6-1)
neon (0.36.0-1)
nettle (3.10.2-1)
networkmanager (1.54.3-1)
ninja (1.13.2-3)
nlohmann-json (3.12.0-2)
npth (1.8-1)
nspr (4.38.2-1)
nss (3.120.1-1)
nwg-look (1.0.6-1)
ocl-icd (2.3.4-1)
